,IMDb Id,Companion(split),Actor
1559,0562993,Mickey Smith,Noel Clarke
1560,0562993,Sarah Jane Smith,Elisabeth Sladen
1561,0562993,K-9,John Leeson
1562,0562998,Rose Tyler,Billie Piper
1563,0562998,Mickey Smith,Noel Clarke
1564,0562991,Rose Tyler,Billie Piper
1565,0562991,Mickey Smith,Noel Clarke
1566,0756447,Rose Tyler,Billie Piper
1567,0756447,Mickey Smith,Noel Clarke
1568,0756451,Rose Tyler,Billie Piper
1569,0772457,Rose Tyler,Billie Piper
1570,0756448,Rose Tyler,Billie Piper
1571,0766171,Rose Tyler,Billie Piper
1572,0756446,Rose Tyler,Billie Piper
1573,0756449,Rose Tyler,Billie Piper
1574,0756449,Mickey Smith,Noel Clarke
1575,0756449,Adeola,Freema Agyeman
1576,0756450,Rose Tyler,Billie Piper
1577,0756450,Mickey Smith,Noel Clarke
1578,0756450,The Bride,Catherine Tate
1579,0827573,Donna Noble,Catherine Tate
1580,0827573,Rose Tyler,Billie Piper
1581,0974728,Martha Jones,Freema Agyeman
1582,0974729,Martha Jones,Freema Agyeman
1583,1000253,Martha Jones,Freema Agyeman
1584,0993186,Martha Jones,Freema Agyeman
1585,0996572,Martha Jones,Freema Agyeman
1586,1000257,Martha Jones,Freema Agyeman
1587,1000251,Martha Jones,Freema Agyeman
1588,1000254,Martha Jones,Freema Agyeman
1589,1000256,Martha Jones,Freema Agyeman
1590,1000252,Martha Jones,Freema Agyeman
1591,1000259,Martha Jones,Freema Agyeman
1592,1000259,Captain Jack Harkness,John Barrowman
1593,1000259,Rose Tyler,Billie Piper
1594,1000258,Martha Jones,Freema Agyeman
1595,1000258,Captain Jack Harkness,John Barrowman
1596,1000255,Martha Jones,Freema Agyeman
1597,1000255,Captain Jack Harkness,John Barrowman
1598,1061123,Astrid Peth,Kylie Minogue
1599,1061123,Wilfred Mott,Bernard Cribbins
1600,1159991,Donna Noble,Catherine Tate
1601,1159991,Rose Tyler,Billie Piper
1602,1159991,Wilfred Mott,Bernard Cribbins
1603,1173173,Donna Noble,Catherine Tate
1604,1173173,Soothsayer,Karen Gillan
1605,1173174,Donna Noble,Catherine Tate
1606,1159992,Donna Noble,Catherine Tate
1607,1159992,Martha Jones,Freema Agyeman
1608,1159992,Wilfred Mott,Bernard Cribbins
1609,1208127,Donna Noble,Catherine Tate
1610,1208127,Martha Jones,Freema Agyeman
1611,1208127,Rose Tyler,Billie Piper
1612,1208127,Wilfred Mott,Bernard Cribbins
1613,1205439,Donna Noble,Catherine Tate
1614,1205439,Martha Jones,Freema Agyeman
1615,1208130,Donna Noble,Catherine Tate
1616,1208129,Donna Noble,Catherine Tate
1617,1208129,River Song,Alex Kingston
1618,1205440,Donna Noble,Catherine Tate
1619,1205440,River Song,Alex Kingston
1620,1208128,Donna Noble,Catherine Tate
1621,1208128,Rose Tyler,Billie Piper
1622,1205436,Donna Noble,Catherine Tate
1623,1205436,Rose Tyler,Billie Piper
1624,1205436,Wilfred Mott,Bernard Cribbins
1625,1205436,Sarah Jane Smith,Elisabeth Sladen
1626,1205437,Donna Noble,Catherine Tate
1627,1205437,Rose Tyler,Billie Piper
1628,1205437,Martha Jones,Freema Agyeman
1629,1205437,Captain Jack Harkness,John Barrowman
1630,1205437,Sarah Jane Smith,Elisabeth Sladen
1631,1205437,Wilfred Mott,Bernard Cribbins
1632,1205438,Donna Noble,Catherine Tate
1633,1205438,Rose Tyler,Billie Piper
1634,1205438,Martha Jones,Freema Agyeman
1635,1205438,Captain Jack Harkness,John Barrowman
1636,1205438,Sarah Jane Smith,Elisabeth Sladen
1637,1205438,Mickey Smith,Noel Clarke
1638,1205438,Wilfred Mott,Bernard Cribbins
1639,1205438,K-9,John Leeson
1640,1205438,River Song,Alex Kingston
1641,1205438,Astrid Peth,Kylie Minogue
1642,1321969,Jackson Lake,David Morrissey
1643,1337072,Christina,Michelle Ryan
1644,1415016,Wilfred Mott,Bernard Cribbins
1645,1415016,Donna Noble,Catherine Tate
1646,1415016,Martha Jones,Freema Agyeman
1647,1415017,Wilfred Mott,Bernard Cribbins
1648,1415017,Donna Noble,Catherine Tate
1649,1415017,Rose Tyler,Billie Piper
1650,1415017,Captain Jack Harkness,John Barrowman
1651,1415017,Martha Smith-Jones,Freema Agyeman
1652,1415017,Mickey Smith,Noel Clarke
1653,1415017,Sarah Jane Smith,Elisabeth Sladen
1654,1577256,Amy Pond,Karen Gillan
1655,1577256,Rory Williams,Arthur Darvill
1656,1577257,Amy Pond,Karen Gillan
